week_of_season,home_users,away_users,concurrent_games,last_5_handle_all,home_team_popularity,away_team_popularity,handle,time_slot_fri,time_slot_mon_early,time_slot_mon_late,time_slot_mon_mid,time_slot_odd_days,time_slot_sun,time_slot_tues
17.0,0,0,5,9844202.40000009,0.8254232761762634,0.3575244985913692,82335.5999999999,0,1,0,0,0,0,0
20.0,918,0,1,8723726.79999997,0.331583986719325,0.8254232761762634,76318.4999999999,0,0,0,0,0,1,0
6.0,0,44855,2,1644923.2,0.8254232761762634,0.8168625318717228,124671.1,0,1,0,0,0,0,0
10.0,0,0,4,12780718.8000001,0.5427956557959114,0.3575244985913692,84233.5999999998,0,1,0,0,0,0,0
9.0,6585,0,1,16568068.2000002,0.331583986719325,0.6377146701015695,216579.200000001,0,0,0,1,0,0,0
14.0,0,0,1,14898796.6000001,0.3299480081608649,0.1198149204140322,298234.500000002,1,0,0,0,0,0,0
13.0,0,48514,4,15357991.0000001,0.1198149204140322,0.754838704140411,532576.399999999,0,1,0,0,0,0,0
10.0,11222,0,1,12780718.8000001,0.331583986719325,0.3299480081608649,424889.700000001,1,0,0,0,0,0,0
9.0,11903,11199,1,14590179.0000002,0.598884493767287,0.331583986719325,213313.8,0,0,0,1,0,0,0
12.0,0,8071,3,16592417.8000003,0.3022048367848109,1.0,173883.500000001,0,1,0,0,0,0,0
7.0,11014,0,1,9670600.20000021,0.331583986719325,0.0,130068.4,0,0,0,1,0,0,0
11.0,0,0,3,13303006.0000002,0.3299480081608649,0.0,98352.3999999999,0,1,0,0,0,0,0
13.0,0,531,5,13768457.6000001,0.5427956557959114,0.598884493767287,46032.0999999999,0,1,0,0,0,0,0
12.0,695,695,2,13317236.8000001,0.331583986719325,1.0,56857.8999999999,0,0,0,1,0,0,0
15.0,30309,30309,3,9957734.40000001,0.8168625318717228,0.754838704140411,126602.7,0,0,0,1,0,0,0
10.0,47375,6857,3,14286050.6000001,0.8168625318717228,0.331583986719325,205115.900000001,0,1,0,0,0,0,0
17.0,0,0,1,11193586.4000001,0.6377146701015695,0.5427956557959114,658079.099999999,0,0,1,0,0,0,0
9.0,0,0,4,14590179.0000002,0.3299480081608649,0.3022048367848109,58716.9999999999,0,1,0,0,0,0,0
20.0,269,0,3,8723726.79999997,0.2702217966698324,0.2538232415802337,45431.7,0,1,0,0,0,0,0
10.0,0,0,3,14286050.6000001,0.0,0.2538232415802337,70181.6999999999,0,1,0,0,0,0,0
23.0,50987,0,1,12763111.6,0.8168625318717228,0.5427956557959114,664173.499999995,0,0,0,0,0,0,1
8.0,20260,0,2,13592788.2000002,0.8168625318717228,0.0,144182.6,0,1,0,0,0,0,0
18.0,49713,0,1,11391412.4000001,0.8168625318717228,0.6377146701015695,240633.800000001,0,0,0,1,0,0,0
23.0,0,0,4,12763111.6,0.0,0.3022048367848109,102969.2,0,1,0,0,0,0,0
10.0,0,1268,4,12780718.8000001,0.1198149204140322,0.2702217966698324,86421.8999999998,0,1,0,0,0,0,0
21.0,50504,0,4,10943996.9999999,0.754838704140411,0.6377146701015695,129129.7,0,1,0,0,0,0,0
23.0,10580,0,1,12763111.6,0.598884493767287,0.3575244985913692,620178.399999996,0,0,1,0,0,0,0
12.0,0,48187,3,16592417.8000003,0.6377146701015695,0.754838704140411,154398.1,0,1,0,0,0,0,0
8.0,0,0,5,12237935.6000002,0.2538232415802337,0.6377146701015695,131195.1,0,1,0,0,0,0,0
19.0,0,872,3,10272479.2000001,0.3022048367848109,0.2041711879483149,73571.3999999999,0,1,0,0,0,0,0
7.0,0,0,5,7749988.80000024,0.1198149204140322,0.2538232415802337,141888.1,0,1,0,0,0,0,0
9.0,54960,1240,1,14590179.0000002,0.754838704140411,0.2702217966698324,459178.100000001,1,0,0,0,0,0,0
26.0,9878,52168,1,20079433.8000004,1.0,0.754838704140411,1078172.89999998,0,0,0,1,0,0,0
12.0,0,0,1,16592417.8000003,0.3022048367848109,0.8254232761762634,610809.199999995,0,0,0,0,0,0,1
9.0,55035,0,4,14590179.0000002,0.8168625318717228,0.1198149204140322,83417.6999999998,0,1,0,0,0,0,0
16.0,250,31127,3,9420223.20000005,0.2041711879483149,0.8168625318717228,71246.0999999998,0,1,0,0,0,0,0
15.0,0,807,3,13716633.0000001,0.3299480081608649,0.2041711879483149,117090.8,0,1,0,0,0,0,0
10.0,697,0,3,14286050.6000001,0.2041711879483149,0.3022048367848109,94882.4999999999,0,1,0,0,0,0,0
13.0,0,0,4,15357991.0000001,0.3299480081608649,0.3022048367848109,208765.800000001,0,1,0,0,0,0,0
21.0,10324,9182,2,10943996.9999999,0.598884493767287,0.331583986719325,151667.3,0,0,0,1,0,0,0
25.0,1071,0,1,19066903.8000002,1.0,0.8254232761762634,630062.399999992,0,0,0,1,0,0,0
4.0,11294,0,1,508832.8,0.598884493767287,0.2538232415802337,18666.2,0,0,0,0,1,0,0
18.0,0,0,2,11391412.4000001,0.0,0.3299480081608649,71398.0,0,1,0,0,0,0,0
11.0,0,0,4,12500701.2000001,0.3022048367848109,0.0,57674.1999999999,0,1,0,0,0,0,0
7.0,10934,0,1,9670600.20000021,1.0,0.3575244985913692,438074.200000002,1,0,0,0,0,0,0
22.0,0,941,4,8749753.59999994,0.3022048367848109,0.2702217966698324,117710.8,0,1,0,0,0,0,0
8.0,0,1227,1,12237935.6000002,0.3575244985913692,0.2041711879483149,106063.4,0,0,0,1,0,0,0
21.0,0,0,4,10943996.9999999,0.0,0.3575244985913692,67383.3999999999,0,1,0,0,0,0,0
7.0,0,0,3,2969585.00000001,0.0,0.6377146701015695,72546.2999999999,0,0,0,1,0,0,0
9.0,669,0,3,16568068.2000002,0.2702217966698324,0.3299480081608649,54341.5999999999,0,1,0,0,0,0,0
6.0,0,543,2,1644923.2,0.2538232415802337,0.2702217966698324,83038.8999999999,0,0,0,1,0,0,0
8.0,0,0,3,13769351.2000002,0.3022048367848109,0.3299480081608649,90829.1000000006,0,1,0,0,0,0,0
7.0,106,0,3,2969585.00000001,0.2702217966698324,0.8254232761762634,47440.7,0,0,0,1,0,0,0
8.0,6259,0,2,13769351.2000002,0.331583986719325,0.1198149204140322,108464.7,0,0,0,1,0,0,0
17.0,0,0,3,11193586.4000001,0.0,0.1198149204140322,62448.9999999998,0,1,0,0,0,0,0
20.0,895,0,3,10865200.4,0.2041711879483149,0.0,112915.9,0,1,0,0,0,0,0
16.0,9707,49189,1,11343326.6,0.598884493767287,0.754838704140411,205142.7,0,0,0,1,0,0,0
13.0,0,28507,5,13768457.6000001,0.6377146701015695,0.8168625318717228,126492.9,0,1,0,0,0,0,0
18.0,0,0,4,8672309.40000005,0.3022048367848109,0.5427956557959114,81918.5999999999,0,1,0,0,0,0,0
18.0,0,0,4,8672309.40000005,0.0,0.3299480081608649,41918.1999999999,0,1,0,0,0,0,0
22.0,0,9397,1,8749753.59999994,0.3575244985913692,0.331583986719325,107161.3,0,0,0,1,0,0,0
7.0,0,1202,4,9670600.20000021,0.6377146701015695,0.2702217966698324,120157.7,0,1,0,0,0,0,0
8.0,0,54813,1,12237935.6000002,0.5427956557959114,0.8168625318717228,355149.600000002,1,0,0,0,0,0,0
25.0,0,51921,1,18617037.6000002,0.3022048367848109,0.754838704140411,759615.599999987,0,0,0,0,0,1,0
22.0,0,283,4,9757519.79999996,0.8254232761762634,0.2702217966698324,66670.0999999999,0,1,0,0,0,0,0
11.0,7088,8875,1,13303006.0000002,0.331583986719325,0.598884493767287,177585.8,0,0,0,1,0,0,0
9.0,0,0,4,14590179.0000002,0.0,0.3575244985913692,43618.2,0,1,0,0,0,0,0
8.0,0,11836,5,12237935.6000002,0.3022048367848109,0.598884493767287,52208.4,0,1,0,0,0,0,0
2.0,0,0,1,361874.200000001,0.8254232761762634,0.3299480081608649,78966.4,0,0,0,0,0,1,0
10.0,0,0,1,14286050.6000001,0.3575244985913692,0.5427956557959114,179647.100000001,0,0,0,1,0,0,0
19.0,583,0,1,8232032.40000004,0.598884493767287,0.3299480081608649,47919.2,0,0,0,1,0,0,0
8.0,46318,46318,3,13769351.2000002,0.8168625318717228,0.754838704140411,186148.499999999,0,1,0,0,0,0,0
24.0,0,0,1,14282957.1999999,0.8254232761762634,0.6377146701015695,495563.099999997,0,0,0,0,0,1,0
15.0,0,0,1,9957734.40000001,0.5427956557959114,0.0,42925.4999999999,0,1,0,0,0,0,0
11.0,0,0,1,13303006.0000002,0.6377146701015695,0.3299480081608649,619694.399999995,0,0,0,0,0,0,1
16.0,0,0,3,11343326.6,0.3022048367848109,0.0,83597.6999999998,0,1,0,0,0,0,0
13.0,0,0,1,15357991.0000001,0.3575244985913692,0.2538232415802337,196952.2,0,0,0,1,0,0,0
24.0,1022,0,1,14282957.1999999,1.0,0.5427956557959114,443699.100000002,0,0,0,1,0,0,0
23.0,0,0,1,10999540.3999999,0.3022048367848109,0.6377146701015695,327619.700000002,0,1,0,0,0,0,0
16.0,0,0,3,9420223.20000005,0.0,0.2538232415802337,41606.8,0,1,0,0,0,0,0
6.0,5473,0,2,1644923.2,1.0,0.5427956557959114,244903.700000001,0,0,0,1,0,0,0
17.0,49495,49495,3,11193586.4000001,0.754838704140411,0.8168625318717228,172146.800000001,0,1,0,0,0,0,0
11.0,727,727,3,13303006.0000002,0.2041711879483149,0.2702217966698324,350872.9,0,1,0,0,0,0,0
14.0,0,0,2,12460688.8000001,0.3299480081608649,0.6377146701015695,93357.2999999999,0,1,0,0,0,0,0
12.0,0,0,3,16592417.8000003,0.2538232415802337,0.1198149204140322,103701.5,0,1,0,0,0,0,0
13.0,0,774,4,15357991.0000001,0.8254232761762634,0.2702217966698324,107797.3,0,1,0,0,0,0,0
4.0,43559,477,1,591467.4,0.754838704140411,0.2702217966698324,41317.3,0,0,0,1,0,0,0
19.0,0,0,1,10272479.2000001,0.8254232761762634,0.2538232415802337,743782.199999991,0,0,0,0,0,0,1
10.0,0,202,1,12078446.4000001,0.0,0.2041711879483149,33769.7,0,0,0,1,0,0,0
17.0,0,0,3,11193586.4000001,0.2538232415802337,0.3022048367848109,112239.9,0,1,0,0,0,0,0
22.0,0,941,4,8749753.59999994,0.2538232415802337,0.2041711879483149,47636.4999999999,0,1,0,0,0,0,0
8.0,0,0,1,13592788.2000002,0.3299480081608649,0.1198149204140322,36367.5,0,0,0,1,0,0,0
12.0,0,0,3,13317236.8000001,0.1198149204140322,0.8254232761762634,76085.1999999998,0,1,0,0,0,0,0
13.0,718,0,1,13768457.6000001,0.331583986719325,0.3575244985913692,58914.7999999999,0,0,0,1,0,0,0
16.0,857,250,2,9420223.20000005,0.331583986719325,0.2702217966698324,77982.2999999999,0,0,0,1,0,0,0
15.0,238,0,3,9957734.40000001,0.2702217966698324,0.3575244985913692,46373.6,0,0,0,1,0,0,0
24.0,9697,51724,1,15890945.4,1.0,0.8168625318717228,743316.199999993,0,0,1,0,0,0,0
8.0,6259,0,3,13769351.2000002,1.0,0.3575244985913692,113733.700000001,0,1,0,0,0,0,0
7.0,1202,0,4,9670600.20000021,0.2041711879483149,0.3299480081608649,70236.1999999999,0,1,0,0,0,0,0
10.0,6857,0,1,14286050.6000001,1.0,0.8254232761762634,763569.599999989,0,0,1,0,0,0,0
9.0,46664,639,1,16568068.2000002,0.754838704140411,0.2041711879483149,689606.699999995,1,0,0,0,0,0,0
8.0,7826,619,2,13769351.2000002,0.598884493767287,0.2702217966698324,307849.1,0,0,0,1,0,0,0
17.0,0,0,5,9844202.40000009,0.3299480081608649,0.3022048367848109,45528.1999999999,0,1,0,0,0,0,0
23.0,36262,0,1,10999540.3999999,0.8168625318717228,0.5427956557959114,560296.999999996,0,0,1,0,0,0,0
16.0,0,0,3,11343326.6,0.8254232761762634,0.3299480081608649,84102.7999999999,0,1,0,0,0,0,0
10.0,1268,0,4,12780718.8000001,0.2041711879483149,0.0,43371.8,0,1,0,0,0,0,0
8.0,147,147,1,13592788.2000002,0.2041711879483149,0.2702217966698324,196258.900000001,0,0,0,0,1,0,0
7.0,0,369,3,2969585.00000001,0.3575244985913692,1.0,145021.5,0,0,0,1,0,0,0
20.0,0,8989,1,10865200.4,0.3575244985913692,1.0,471544.3,1,0,0,0,0,0,0
23.0,9453,9453,1,12763111.6,0.331583986719325,1.0,418841.400000001,0,0,0,0,0,1,0
12.0,0,27553,3,13317236.8000001,0.3022048367848109,0.8168625318717228,86519.5999999998,0,1,0,0,0,0,0
11.0,211,0,1,12500701.2000001,0.2702217966698324,0.1198149204140322,54364.4999999999,0,0,0,1,0,0,0
21.0,0,10181,1,10943996.9999999,0.5427956557959114,0.598884493767287,357246.000000001,0,0,0,0,0,0,1
20.0,9045,50151,1,10865200.4,0.331583986719325,0.754838704140411,315593.3,0,0,0,1,0,0,0
15.0,794,0,1,13716633.0000001,0.2702217966698324,0.6377146701015695,367843.700000002,1,0,0,0,0,0,0
8.0,0,0,1,12237935.6000002,0.8254232761762634,0.3022048367848109,238689.800000001,0,0,0,0,0,0,1
18.0,0,580,4,8672309.40000005,0.1198149204140322,0.598884493767287,48707.9999999999,0,1,0,0,0,0,0
21.0,9182,50504,2,10943996.9999999,1.0,0.8168625318717228,278537.100000001,0,0,0,1,0,0,0
7.0,0,5962,1,7749988.80000024,0.6377146701015695,1.0,724980.500000011,0,0,1,0,0,0,0
8.0,0,11139,5,12237935.6000002,0.3299480081608649,1.0,178954.6,0,1,0,0,0,0,0
23.0,0,0,1,10999540.3999999,0.8254232761762634,0.3299480081608649,392510.2,0,0,0,0,0,1,0
22.0,34672,0,4,9757519.79999996,0.754838704140411,0.6377146701015695,48235.3,0,1,0,0,0,0,0
7.0,0,0,4,9670600.20000021,0.5427956557959114,0.1198149204140322,70518.9999999999,0,1,0,0,0,0,0
11.0,25554,0,4,12500701.2000001,0.8168625318717228,0.5427956557959114,126125.2,0,1,0,0,0,0,0
23.0,0,0,2,12763111.6,0.8254232761762634,0.1198149204140322,100212.3,0,0,0,1,0,0,0
6.0,0,0,4,2505291.00000001,0.0,0.3299480081608649,64876.5,0,1,0,0,0,0,0
19.0,267,909,2,8232032.40000004,0.2702217966698324,1.0,74212.3999999999,0,1,0,0,0,0,0
14.0,791,0,3,14898796.6000001,0.2041711879483149,0.8254232761762634,106315.9,0,1,0,0,0,0,0
13.0,28507,0,5,13768457.6000001,0.754838704140411,0.3022048367848109,45064.5999999999,0,1,0,0,0,0,0
16.0,0,826,3,11343326.6,0.1198149204140322,0.2702217966698324,58211.6999999999,0,1,0,0,0,0,0
21.0,0,919,4,10943996.9999999,0.1198149204140322,0.2041711879483149,118870.7,0,1,0,0,0,0,0
16.0,0,0,2,9420223.20000005,0.3575244985913692,0.1198149204140322,34375.5,0,0,0,1,0,0,0
7.0,0,0,5,7749988.80000024,0.5427956557959114,0.0,68713.8999999999,0,1,0,0,0,0,0
13.0,0,0,5,13768457.6000001,0.8254232761762634,0.2538232415802337,48609.2,0,1,0,0,0,0,0
18.0,49713,0,2,11391412.4000001,0.754838704140411,0.3575244985913692,141722.5,0,1,0,0,0,0,0
6.0,0,0,4,2505291.00000001,0.1198149204140322,0.6377146701015695,128096.5,0,1,0,0,0,0,0
23.0,0,51151,4,12763111.6,0.5427956557959114,0.754838704140411,86446.9,0,1,0,0,0,0,0
21.0,0,944,1,9409104.79999996,0.3575244985913692,0.331583986719325,38257.2,0,0,0,1,0,0,0
13.0,718,0,5,13768457.6000001,1.0,0.1198149204140322,38280.9999999999,0,1,0,0,0,0,0
21.0,0,0,4,10943996.9999999,0.2538232415802337,0.8254232761762634,196216.0,0,1,0,0,0,0,0
15.0,9597,8502,1,13716633.0000001,0.598884493767287,1.0,844619.999999996,0,0,1,0,0,0,0
22.0,50938,9397,4,8749753.59999994,0.754838704140411,1.0,210114.300000001,0,1,0,0,0,0,0
8.0,0,54903,5,12237935.6000002,0.1198149204140322,0.754838704140411,81354.0999999999,0,1,0,0,0,0,0
20.0,0,0,1,10865200.4,0.3299480081608649,0.2538232415802337,408699.200000002,0,0,0,0,0,1,0
25.0,9811,0,1,18617037.6000002,1.0,0.8254232761762634,793405.799999984,0,0,0,1,0,0,0
21.0,34115,0,3,9409104.79999996,0.8168625318717228,0.3299480081608649,75332.5999999999,0,1,0,0,0,0,0
14.0,48755,0,3,14898796.6000001,0.754838704140411,0.5427956557959114,392598.699999999,0,1,0,0,0,0,0
1.0,11244,1092,1,145677.200000001,0.598884493767287,0.2041711879483149,72838.5999999999,1,0,0,0,0,0,0
20.0,50151,0,3,10865200.4,0.8168625318717228,0.3022048367848109,191268.400000001,0,1,0,0,0,0,0
6.0,0,11583,1,2505291.00000001,0.3575244985913692,0.598884493767287,113456.9,0,0,0,1,0,0,0
15.0,0,0,3,13716633.0000001,0.2538232415802337,0.5427956557959114,143881.7,0,1,0,0,0,0,0
7.0,6571,0,1,7749988.80000024,0.598884493767287,0.6377146701015695,1026695.89999999,0,0,0,0,0,0,1
15.0,553,833,3,9957734.40000001,0.598884493767287,0.331583986719325,59804.2999999999,0,0,0,1,0,0,0
7.0,54699,0,4,9670600.20000021,0.8168625318717228,0.2538232415802337,174077.500000001,0,1,0,0,0,0,0
14.0,0,541,1,12460688.8000001,0.3575244985913692,0.598884493767287,59182.4,0,0,0,1,0,0,0
20.0,895,0,3,10865200.4,0.2702217966698324,0.1198149204140322,73920.0999999999,0,1,0,0,0,0,0
